y_true,probabilidade_modelo,predicao_final_limiar
1.0,0.55473894,0
1.0,0.4073433,0
1.0,0.971233,1
1.0,0.9995654,1
1.0,0.9826576,1
1.0,0.21771696,0
1.0,0.5192381,0
1.0,0.9828927,1
1.0,0.14301533,0
1.0,0.84022826,1
1.0,0.9468421,1
1.0,0.9980666,1
1.0,0.931114,1
1.0,0.5245201,0
1.0,0.90396845,1
1.0,0.6010121,0
1.0,0.51405036,0
1.0,0.84577477,1
1.0,0.5705334,0
1.0,0.98920614,1
1.0,0.6260568,0
1.0,0.6269151,0
1.0,0.6840867,0
1.0,0.2637863,0
1.0,0.9972037,1
1.0,0.99856806,1
1.0,0.9769424,1
1.0,0.97062844,1
1.0,0.99969184,1
1.0,0.9948805,1
1.0,0.99023676,1
1.0,0.9256555,1
1.0,0.3152964,0
1.0,0.85893977,1
1.0,0.9983115,1
1.0,0.9147763,1
1.0,0.9993247,1
1.0,0.7591446,0
1.0,0.6094688,0
1.0,0.98703843,1
1.0,0.61934453,0
1.0,0.9709935,1
1.0,0.20349488,0
1.0,0.9628588,1
1.0,0.97347987,1
1.0,0.8862775,1
1.0,0.6621909,0
1.0,0.7518663,0
1.0,0.9865309,1
1.0,0.97947943,1
1.0,0.9919011,1
1.0,0.9908975,1
1.0,0.9613563,1
1.0,0.46066108,0
1.0,0.82597065,1
1.0,0.98121727,1
1.0,0.937483,1
1.0,0.83634436,1
1.0,0.48134643,0
1.0,0.87113875,1
1.0,0.9257352,1
1.0,0.367469,0
1.0,0.9979472,1
1.0,0.9867856,1
1.0,0.9969098,1
1.0,0.99844205,1
1.0,0.9988143,1
1.0,0.9070903,1
1.0,0.9881202,1
1.0,0.9873854,1
1.0,0.99668074,1
1.0,0.99185294,1
1.0,0.9989826,1
1.0,0.9124379,1
1.0,0.98540306,1
1.0,0.20376699,0
1.0,0.8661769,1
1.0,0.13367148,0
1.0,0.58540446,0
1.0,0.9181059,1
1.0,0.9350976,1
1.0,0.8238241,1
1.0,0.9991086,1
1.0,0.6877999,0
1.0,0.9982966,1
1.0,0.9886883,1
1.0,0.99918824,1
1.0,0.98946345,1
1.0,0.40741092,0
1.0,0.41317955,0
1.0,0.80340767,0
1.0,0.77759415,0
1.0,0.9911639,1
1.0,0.9988159,1
1.0,0.8911933,1
1.0,0.9743988,1
1.0,0.97385085,1
1.0,0.9824158,1
1.0,0.8132389,0
1.0,0.90009534,1
1.0,0.96283877,1
1.0,0.86008453,1
1.0,0.90657485,1
1.0,0.3998308,0
1.0,0.9940074,1
1.0,0.9566635,1
1.0,0.84984666,1
1.0,0.15875743,0
1.0,0.66692394,0
1.0,0.92740506,1
1.0,0.99464047,1
1.0,0.5684045,0
1.0,0.65389276,0
1.0,0.12240525,0
1.0,0.9027351,1
1.0,0.3680913,0
1.0,0.9742239,1
1.0,0.575509,0
1.0,0.20162752,0
1.0,0.58027387,0
1.0,0.8494868,1
1.0,0.9986661,1
1.0,0.726913,0
1.0,0.8424595,1
1.0,0.88857764,1
1.0,0.92247105,1
1.0,0.9945091,1
1.0,0.47892123,0
1.0,0.29389703,0
1.0,0.07583423,0
1.0,0.9996198,1
1.0,0.89165384,1
1.0,0.56360626,0
1.0,0.7321359,0
1.0,0.7652731,0
1.0,0.93143815,1
1.0,0.94395673,1
1.0,0.9711876,1
1.0,0.58882344,0
1.0,0.942972,1
1.0,0.99761724,1
1.0,0.9808873,1
1.0,0.8732935,1
1.0,0.9510787,1
1.0,0.9925426,1
1.0,0.83134043,1
1.0,0.9008142,1
1.0,0.9957436,1
1.0,0.99208546,1
1.0,0.80466384,0
1.0,0.9633374,1
1.0,0.6349049,0
1.0,0.99584115,1
1.0,0.9077903,1
1.0,0.7889438,0
1.0,0.18214586,0
1.0,0.892416,1
1.0,0.94209117,1
1.0,0.9833306,1
1.0,0.99044055,1
1.0,0.99523723,1
1.0,0.9449871,1
1.0,0.6979829,0
1.0,0.24470122,0
1.0,0.99753284,1
1.0,0.96200943,1
1.0,0.4181899,0
1.0,0.9494077,1
1.0,0.9896849,1
1.0,0.99316424,1
1.0,0.41327992,0
1.0,0.9336575,1
1.0,0.40457457,0
1.0,0.6403863,0
1.0,0.8391649,1
1.0,0.9816903,1
1.0,0.06231621,0
1.0,0.34198493,0
1.0,0.98917735,1
1.0,0.48077887,0
1.0,0.7488548,0
1.0,0.5422083,0
1.0,0.98186654,1
1.0,0.9938461,1
1.0,0.97071934,1
1.0,0.9979213,1
1.0,0.9872901,1
1.0,0.9959482,1
1.0,0.9840428,1
1.0,0.9559821,1
1.0,0.75832415,0
1.0,0.7279705,0
1.0,0.96652013,1
1.0,0.36827555,0
1.0,0.94210225,1
1.0,0.7191124,0
1.0,0.98486996,1
1.0,0.36206937,0
1.0,0.7724942,0
1.0,0.9837774,1
1.0,0.8329978,1
1.0,0.6598096,0
1.0,0.4400126,0
1.0,0.7182703,0
1.0,0.6649812,0
1.0,0.7681236,0
1.0,0.058184277,0
1.0,0.98816645,1
1.0,0.97464246,1
1.0,0.6923827,0
1.0,0.6727409,0
1.0,0.6263308,0
1.0,0.89894885,1
1.0,0.98624897,1
1.0,0.64098084,0
1.0,0.96511376,1
1.0,0.9409763,1
1.0,0.9227675,1
1.0,0.9787491,1
1.0,0.9918459,1
1.0,0.6425272,0
