y_true,probabilidade_modelo,predicao_final_limiar
1.0,0.2253119,0
1.0,0.09368487,0
1.0,0.18267521,0
1.0,0.9973485,1
1.0,0.9907981,1
1.0,0.98162794,1
1.0,0.403412,0
1.0,0.99521816,1
1.0,0.51006186,0
1.0,0.048832484,0
1.0,0.1587131,0
1.0,0.17771465,0
1.0,0.42880338,0
1.0,0.11415539,0
1.0,0.99956703,1
1.0,0.8226015,1
1.0,0.021329964,0
1.0,0.06011495,0
1.0,0.09209424,0
1.0,0.9712833,1
1.0,0.9773407,1
1.0,0.026359444,0
1.0,0.11507473,0
1.0,0.82908,1
1.0,0.3922793,0
1.0,0.08728006,0
1.0,0.07118253,0
1.0,0.34629542,0
1.0,0.36089343,0
1.0,0.009474786,0
1.0,0.9723549,1
1.0,0.85379124,1
1.0,0.9740421,1
1.0,0.027460655,0
1.0,0.8753993,1
1.0,0.050828837,0
1.0,0.049003735,0
1.0,0.97762537,1
1.0,0.9873737,1
1.0,0.5303166,0
1.0,0.085273035,0
1.0,0.27443683,0
1.0,0.47786993,0
1.0,0.62507945,0
1.0,0.99842453,1
1.0,0.72240895,0
1.0,0.3023002,0
1.0,0.8655578,1
1.0,0.54833925,0
1.0,0.98947173,1
1.0,0.9130205,1
1.0,0.99131167,1
1.0,0.99675906,1
1.0,0.8243909,1
1.0,0.9546173,1
1.0,0.48770198,0
1.0,0.9992129,1
1.0,0.98747385,1
1.0,0.9962532,1
1.0,0.94963586,1
1.0,0.09866016,0
1.0,0.05889063,0
1.0,0.032125313,0
1.0,0.976632,1
1.0,0.9983429,1
1.0,0.5006777,0
1.0,0.06203077,0
1.0,0.25611693,0
1.0,0.9211381,1
1.0,0.1902899,0
1.0,0.06498643,0
1.0,0.9714807,1
1.0,0.9973103,1
1.0,0.99848527,1
1.0,0.9658097,1
1.0,0.99760133,1
1.0,0.7247029,0
1.0,0.82653904,1
1.0,0.96709013,1
1.0,0.8123473,1
1.0,0.9784417,1
1.0,0.97645265,1
1.0,0.980251,1
1.0,0.9179867,1
1.0,0.9242493,1
1.0,0.9994949,1
1.0,0.9953993,1
