y_true,probabilidade_modelo,predicao_final_limiar
1.0,0.43812758,0
1.0,0.2937395,0
1.0,0.9215328,1
1.0,0.9986461,1
1.0,0.87710685,1
1.0,0.09655297,0
1.0,0.41611737,0
1.0,0.8957515,1
1.0,0.033109214,0
1.0,0.9471823,1
1.0,0.86387885,1
1.0,0.9957978,1
1.0,0.6363629,0
1.0,0.4952157,0
1.0,0.78809357,0
1.0,0.30013186,0
1.0,0.49749145,0
1.0,0.57897997,0
1.0,0.72791225,0
1.0,0.9908659,1
1.0,0.4482645,0
1.0,0.52466273,0
1.0,0.20729466,0
1.0,0.5886471,0
1.0,0.9933181,1
1.0,0.9975026,1
1.0,0.96955836,1
1.0,0.53959745,0
1.0,0.9990069,1
1.0,0.97723025,1
1.0,0.99694985,1
1.0,0.92806035,1
1.0,0.26845542,0
1.0,0.9156455,1
1.0,0.99239904,1
1.0,0.87315714,1
1.0,0.99472016,1
1.0,0.36439347,0
1.0,0.7899188,0
1.0,0.95963764,1
1.0,0.7272973,0
1.0,0.9506124,1
1.0,0.60252076,0
1.0,0.7162703,0
1.0,0.980663,1
1.0,0.87867624,1
1.0,0.2588196,0
1.0,0.92291135,1
1.0,0.9472507,1
1.0,0.9975379,1
1.0,0.9948103,1
1.0,0.9903542,1
1.0,0.9878103,1
1.0,0.39960083,0
1.0,0.86047804,1
1.0,0.9694373,1
1.0,0.77284575,0
1.0,0.35895744,0
1.0,0.60716873,0
1.0,0.7962954,0
1.0,0.84496486,1
1.0,0.11858275,0
1.0,0.97746676,1
1.0,0.97823775,1
1.0,0.9789158,1
1.0,0.9863489,1
1.0,0.9919642,1
1.0,0.9224361,1
1.0,0.93810767,1
1.0,0.9690226,1
1.0,0.9640175,1
1.0,0.99042624,1
1.0,0.9652709,1
1.0,0.7173323,0
1.0,0.9776083,1
1.0,0.21958163,0
1.0,0.92648095,1
1.0,0.074251875,0
1.0,0.57767314,0
1.0,0.97583234,1
1.0,0.81504077,0
1.0,0.78124017,0
1.0,0.9969344,1
1.0,0.7511429,0
1.0,0.99660444,1
1.0,0.9857505,1
1.0,0.99808997,1
1.0,0.97839576,1
1.0,0.1231091,0
1.0,0.14832857,0
1.0,0.8228073,0
1.0,0.73417604,0
1.0,0.982433,1
1.0,0.9678217,1
1.0,0.8221656,0
1.0,0.72991633,0
1.0,0.9799547,1
1.0,0.9172059,1
1.0,0.7957034,0
1.0,0.7283443,0
1.0,0.9784031,1
1.0,0.8374041,1
1.0,0.85300887,1
1.0,0.46916333,0
1.0,0.9861859,1
1.0,0.92476064,1
1.0,0.83085644,0
1.0,0.056854922,0
1.0,0.65813893,0
1.0,0.8378619,1
1.0,0.99472845,1
1.0,0.80112374,0
1.0,0.7391392,0
1.0,0.07627626,0
1.0,0.42171922,0
1.0,0.2278111,0
1.0,0.92237264,1
1.0,0.4371473,0
1.0,0.1705654,0
1.0,0.40340424,0
1.0,0.8637458,1
1.0,0.9979865,1
1.0,0.50638413,0
1.0,0.8782935,1
1.0,0.6473095,0
1.0,0.80572814,0
1.0,0.9930916,1
1.0,0.15510102,0
1.0,0.11413453,0
1.0,0.041001193,0
1.0,0.9993245,1
1.0,0.88039905,1
1.0,0.6154063,0
1.0,0.80038023,0
1.0,0.8650526,1
1.0,0.7826146,0
1.0,0.83989954,1
1.0,0.94627655,1
1.0,0.5474978,0
1.0,0.88818455,1
1.0,0.995664,1
1.0,0.98206663,1
1.0,0.80702573,0
1.0,0.4563729,0
1.0,0.9737504,1
1.0,0.9644305,1
1.0,0.80871904,0
1.0,0.88960046,1
1.0,0.93582076,1
1.0,0.82111967,0
1.0,0.909184,1
1.0,0.76700884,0
1.0,0.9989449,1
1.0,0.95398223,1
1.0,0.7197551,0
1.0,0.013941072,0
1.0,0.2997313,0
1.0,0.8939215,1
1.0,0.9557028,1
1.0,0.9802109,1
1.0,0.99388856,1
1.0,0.9931343,1
1.0,0.21828023,0
1.0,0.038292624,0
1.0,0.9950363,1
1.0,0.9702738,1
1.0,0.123564646,0
1.0,0.80532205,0
1.0,0.9682431,1
1.0,0.9062055,1
1.0,0.15080735,0
1.0,0.7926427,0
1.0,0.19639468,0
1.0,0.31299892,0
1.0,0.47901815,0
1.0,0.9636739,1
1.0,0.015104495,0
1.0,0.092053145,0
1.0,0.9823055,1
1.0,0.067617,0
1.0,0.7713059,0
1.0,0.5677185,0
1.0,0.9640377,1
1.0,0.98616374,1
1.0,0.92620486,1
1.0,0.9681112,1
1.0,0.93561447,1
1.0,0.99471724,1
1.0,0.95916736,1
1.0,0.9465882,1
1.0,0.77686566,0
1.0,0.86019146,1
1.0,0.9022685,1
1.0,0.14208464,0
1.0,0.821747,0
1.0,0.3679537,0
1.0,0.891315,1
1.0,0.2769712,0
1.0,0.7886308,0
1.0,0.94889295,1
1.0,0.7714621,0
1.0,0.7653595,0
1.0,0.32433596,0
1.0,0.6916771,0
