y_true,probabilidade_modelo,predicao_final_limiar
1.0,0.29349464,0
1.0,0.14188924,0
1.0,0.24269605,0
1.0,0.9877502,1
1.0,0.98612845,1
1.0,0.9470684,1
1.0,0.40201718,0
1.0,0.9885291,1
1.0,0.4822259,0
1.0,0.17369977,0
1.0,0.17512922,0
1.0,0.29489732,0
1.0,0.62448496,0
1.0,0.223775,0
1.0,0.99867,1
1.0,0.44081625,0
1.0,0.17892458,0
1.0,0.21418282,0
1.0,0.24210683,0
1.0,0.965851,1
1.0,0.950404,1
1.0,0.00643771,0
1.0,0.096049875,0
1.0,0.9647918,1
1.0,0.38251933,0
1.0,0.08401909,0
1.0,0.09600093,0
1.0,0.48417634,0
1.0,0.41561952,0
1.0,0.030302849,0
1.0,0.9823678,1
1.0,0.63928986,0
1.0,0.7996944,1
1.0,0.042938255,0
1.0,0.8498904,1
1.0,0.029648721,0
1.0,0.027168047,0
1.0,0.9725338,1
1.0,0.98125374,1
1.0,0.68706155,0
1.0,0.09526913,0
1.0,0.690798,0
1.0,0.43503827,0
1.0,0.8293768,1
1.0,0.9922452,1
1.0,0.5839442,0
1.0,0.24819727,0
1.0,0.8699126,1
1.0,0.47433656,0
1.0,0.94704807,1
1.0,0.84650564,1
1.0,0.99125355,1
1.0,0.9899686,1
1.0,0.86614084,1
1.0,0.9372161,1
1.0,0.36563513,0
1.0,0.9974181,1
1.0,0.9474681,1
1.0,0.95784503,1
1.0,0.9854131,1
1.0,0.090554416,0
1.0,0.10615842,0
1.0,0.082554534,0
1.0,0.9880422,1
1.0,0.99711007,1
1.0,0.3648718,0
1.0,0.04512577,0
1.0,0.31048217,0
1.0,0.9350082,1
1.0,0.4028236,0
1.0,0.48505384,0
1.0,0.98348445,1
1.0,0.9810912,1
1.0,0.9967569,1
1.0,0.93764037,1
1.0,0.99106616,1
1.0,0.19833934,0
1.0,0.72272885,0
1.0,0.97414494,1
1.0,0.8064579,1
1.0,0.92638826,1
1.0,0.85293883,1
1.0,0.95864457,1
1.0,0.92347133,1
1.0,0.97349674,1
1.0,0.99875116,1
1.0,0.9806029,1
1.0,0.99667054,1
1.0,0.9947792,1
1.0,0.98543644,1
1.0,0.23202164,0
1.0,0.90420324,1
1.0,0.81122464,1
1.0,0.95271385,1
1.0,0.96282977,1
1.0,0.91622365,1
1.0,0.42416233,0
1.0,0.6791364,0
1.0,0.7255558,0
1.0,0.5568203,0
1.0,0.65834653,0
1.0,0.9310896,1
1.0,0.9953289,1
1.0,0.99231243,1
1.0,0.73022777,0
1.0,0.97667396,1
1.0,0.8970769,1
1.0,0.69652855,0
1.0,0.9728487,1
1.0,0.7464316,1
1.0,0.9721961,1
1.0,0.82285297,1
1.0,0.4679342,0
1.0,0.44275093,0
1.0,0.991923,1
1.0,0.98505944,1
1.0,0.599893,0
1.0,0.8863472,1
1.0,0.9920791,1
1.0,0.9343136,1
1.0,0.92125857,1
1.0,0.66234314,0
1.0,0.824495,1
