y_true,probabilidade_modelo,predicao_final_limiar
1.0,0.46901402,0
1.0,0.42736554,0
1.0,0.9592624,1
1.0,0.9996766,1
1.0,0.9935854,1
1.0,0.0841739,0
1.0,0.42787012,0
1.0,0.96441925,1
1.0,0.1382553,0
1.0,0.95491284,1
1.0,0.8976949,1
1.0,0.99545735,1
1.0,0.7512813,0
1.0,0.44072613,0
1.0,0.7234975,0
1.0,0.32242736,0
1.0,0.35094348,0
1.0,0.7262193,0
1.0,0.62535834,0
1.0,0.99156064,1
1.0,0.5388342,0
1.0,0.6262427,0
1.0,0.5365782,0
1.0,0.7552248,0
1.0,0.99266636,1
1.0,0.9986518,1
1.0,0.93504363,1
1.0,0.9447864,1
1.0,0.9993674,1
1.0,0.99171317,1
1.0,0.9956301,1
1.0,0.92091924,1
1.0,0.39798528,0
1.0,0.87158984,1
1.0,0.99552363,1
1.0,0.91976976,1
1.0,0.9983962,1
1.0,0.80473155,0
1.0,0.62709033,0
1.0,0.9883133,1
1.0,0.48958474,0
1.0,0.9185522,1
1.0,0.113307856,0
1.0,0.8303339,0
1.0,0.98307484,1
1.0,0.98426706,1
1.0,0.43829957,0
1.0,0.7346633,0
1.0,0.99541533,1
1.0,0.99219143,1
1.0,0.9926422,1
1.0,0.9917122,1
1.0,0.97064304,1
1.0,0.82281476,0
1.0,0.84625196,1
1.0,0.98820716,1
1.0,0.9305115,1
1.0,0.73615694,0
1.0,0.9773741,1
1.0,0.81450003,0
1.0,0.82591325,0
1.0,0.2873352,0
1.0,0.9912569,1
1.0,0.9772393,1
1.0,0.9925372,1
1.0,0.9971043,1
1.0,0.997972,1
1.0,0.9096659,1
1.0,0.9848633,1
1.0,0.9436842,1
1.0,0.9885028,1
1.0,0.9879955,1
1.0,0.99531543,1
1.0,0.7960077,0
1.0,0.957744,1
1.0,0.16333798,0
1.0,0.9607609,1
1.0,0.044057887,0
1.0,0.6117184,0
1.0,0.9640562,1
1.0,0.96077585,1
1.0,0.7348669,0
1.0,0.99701154,1
1.0,0.41836676,0
1.0,0.9990819,1
1.0,0.95708054,1
1.0,0.99842775,1
1.0,0.99657595,1
